                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4747,                 2.4355,                 1.2973,                0.59062,                0.51026,                 0.5673,                0.42542,                  1.562,                  2.274,                 1.4126,                      0,                      0,                      0
                      2,                  1.237,                 2.0827,                 1.2912,                0.59129,                0.51558,                0.56373,                0.42286,                 1.5534,                 2.1978,                 1.4055,             8.2475e-06,             8.2475e-06,             8.2475e-06
                      3,                 1.5125,                 4.2819,                 1.5138,                0.69515,                0.50139,                0.57799,                0.43391,                 1.5321,                 2.0479,                 1.3919,              1.633e-05,              1.633e-05,              1.633e-05
                      4,                  1.572,                  3.111,                 1.5887,                 0.7462,                0.52598,                0.59124,                0.44785,                 1.4979,                 1.8434,                 1.3705,             2.4248e-05,             2.4248e-05,             2.4248e-05
                      5,                 1.2026,                  2.297,                 1.2475,                0.74435,                0.56298,                0.62244,                  0.469,                 1.4557,                 1.6804,                 1.3545,             3.2001e-05,             3.2001e-05,             3.2001e-05
                      6,                 1.4154,                 2.4303,                 1.3228,                0.75545,                0.57029,                 0.6712,                 0.5007,                  1.463,                 1.6805,                 1.3839,             3.9588e-05,             3.9588e-05,             3.9588e-05
                      7,                 1.6386,                 2.3453,                 1.6852,                0.64826,                0.63694,                0.67445,                0.50051,                 1.4297,                 1.7324,                 1.3929,             4.7011e-05,             4.7011e-05,             4.7011e-05
                      8,                 1.1752,                 1.2174,                 1.2507,                0.68961,                0.63822,                0.68545,                0.48915,                  1.346,                 1.7959,                 1.3739,             5.4269e-05,             5.4269e-05,             5.4269e-05
                      9,                  1.506,                 1.6386,                 1.5321,                0.64025,                 0.7428,                 0.6933,                0.48606,                 1.3004,                 1.7488,                 1.3709,             6.1362e-05,             6.1362e-05,             6.1362e-05
                     10,                  1.108,                 1.5776,                  1.187,                0.70206,                0.69914,                 0.7108,                0.47963,                 1.2638,                 1.6625,                 1.3457,              6.829e-05,              6.829e-05,              6.829e-05
                     11,                 1.4535,                 1.7345,                 1.6106,                0.65262,                0.74747,                0.70103,                0.47315,                 1.2346,                 1.6003,                 1.3388,             7.5053e-05,             7.5053e-05,             7.5053e-05
                     12,                  1.797,                 1.4968,                 1.8742,                0.68258,                0.67597,                0.65802,                0.44894,                 1.2003,                 1.5973,                 1.3344,             8.1651e-05,             8.1651e-05,             8.1651e-05
                     13,                 1.2538,                   1.24,                 1.2807,                0.66627,                0.69803,                0.62534,                0.41955,                 1.1625,                 1.6656,                 1.3184,             8.8085e-05,             8.8085e-05,             8.8085e-05
                     14,                 1.6618,                 1.3676,                 1.6434,                0.62591,                0.70936,                0.60438,                0.42338,                 1.1688,                 1.7139,                 1.3422,             9.4353e-05,             9.4353e-05,             9.4353e-05
                     15,                 1.2155,                0.98669,                 1.2694,                0.67912,                0.71058,                0.61587,                0.44123,                 1.1724,                 1.7126,                 1.3606,             0.00010046,             0.00010046,             0.00010046
                     16,                0.85773,                0.72868,                 1.0263,                0.70028,                 0.7207,                0.62319,                0.43684,                 1.1548,                 1.7096,                 1.3518,             0.00010639,             0.00010639,             0.00010639
                     17,                 1.1261,                0.90174,                 1.3075,                0.69927,                0.72319,                0.63936,                0.44675,                 1.1352,                 1.6662,                 1.3429,             0.00011217,             0.00011217,             0.00011217
                     18,                 0.8862,                0.71277,                0.97717,                0.69927,                0.72319,                0.63936,                0.44675,                 1.1352,                 1.6662,                 1.3429,             0.00011778,             0.00011778,             0.00011778
                     19,                 1.2865,                 0.9387,                 1.4333,                0.70396,                0.73841,                0.67609,                0.47742,                 1.1259,                 1.5062,                  1.342,             0.00012322,             0.00012322,             0.00012322
                     20,                 1.2178,                0.86225,                 1.2091,                0.70396,                0.73841,                0.67609,                0.47742,                 1.1259,                 1.5062,                  1.342,              0.0001285,              0.0001285,              0.0001285
                     21,                 1.3219,                0.78834,                 1.2936,                0.69173,                0.73391,                0.74617,                 0.5285,                 1.1257,                 1.3894,                 1.3425,             0.00013361,             0.00013361,             0.00013361
                     22,                 1.0397,                0.76723,                  1.133,                0.69173,                0.73391,                0.74617,                 0.5285,                 1.1257,                 1.3894,                 1.3425,             0.00013856,             0.00013856,             0.00013856
                     23,                 1.2971,                 1.1164,                 1.4794,                  0.704,                0.76172,                0.82362,                0.59649,                  1.101,                 1.2258,                 1.3289,             0.00014335,             0.00014335,             0.00014335
                     24,                  1.093,                0.85431,                 1.2779,                  0.704,                0.76172,                0.82362,                0.59649,                  1.101,                 1.2258,                 1.3289,             0.00014796,             0.00014796,             0.00014796
                     25,                 1.0917,                0.80016,                 1.1396,                0.62672,                0.82462,                0.86067,                0.63532,                 1.0739,                 1.0999,                 1.3082,             0.00015242,             0.00015242,             0.00015242
                     26,                 1.1773,                  0.896,                  1.209,                0.62672,                0.82462,                0.86067,                0.63532,                 1.0739,                 1.0999,                 1.3082,             0.00015671,             0.00015671,             0.00015671
                     27,                 1.4543,                0.94547,                 1.3775,                0.82713,                0.76254,                0.86083,                0.65216,                 1.0644,                 1.0379,                 1.2903,             0.00016083,             0.00016083,             0.00016083
                     28,                 1.4811,                 1.0213,                 1.4686,                0.82713,                0.76254,                0.86083,                0.65216,                 1.0644,                 1.0379,                 1.2903,             0.00016479,             0.00016479,             0.00016479
                     29,                 1.1885,                0.89919,                 1.3422,                  0.832,                0.84907,                0.86948,                0.65952,                  1.079,                0.95904,                 1.2833,             0.00016859,             0.00016859,             0.00016859
                     30,                 1.2589,                0.82803,                 1.3011,                  0.832,                0.84907,                0.86948,                0.65952,                  1.079,                0.95904,                 1.2833,             0.00017222,             0.00017222,             0.00017222
                     31,                 1.1601,                0.80007,                 1.2294,                0.88281,                0.83981,                0.86867,                0.66302,                 1.0854,                0.90477,                 1.2831,             0.00017568,             0.00017568,             0.00017568
                     32,                 1.0324,                0.80653,                 1.1242,                0.88281,                0.83981,                0.86867,                0.66302,                 1.0854,                0.90477,                 1.2831,             0.00017898,             0.00017898,             0.00017898
                     33,                 1.1793,                0.96632,                 1.1484,                0.93246,                0.83327,                0.87179,                0.66486,                 1.0884,                0.85344,                 1.2855,             0.00018211,             0.00018211,             0.00018211
                     34,                 1.3189,                0.87445,                 1.2593,                0.93246,                0.83327,                0.87179,                0.66486,                 1.0884,                0.85344,                 1.2855,             0.00018508,             0.00018508,             0.00018508
                     35,                 1.3605,                0.91357,                 1.4309,                0.93895,                0.83551,                 0.8708,                0.67002,                 1.0899,                0.82964,                 1.2839,             0.00018789,             0.00018789,             0.00018789
                     36,                 1.0947,                0.75627,                 1.3045,                0.93895,                0.83551,                 0.8708,                0.67002,                 1.0899,                0.82964,                 1.2839,             0.00019053,             0.00019053,             0.00019053
                     37,                 1.0509,                0.68969,                 1.1899,                  0.939,                0.83833,                0.87139,                0.68563,                 1.0402,                0.80294,                 1.2491,               0.000193,               0.000193,               0.000193
                     38,                 1.0764,                0.79979,                 1.2824,                  0.939,                0.83833,                0.87139,                0.68563,                 1.0402,                0.80294,                 1.2491,             0.00019531,             0.00019531,             0.00019531
                     39,                0.90917,                0.83692,                 1.1023,                0.91016,                0.83571,                0.87416,                0.68595,                0.99977,                0.76717,                 1.2163,             0.00019746,             0.00019746,             0.00019746
                     40,                 1.2544,                0.82637,                  1.419,                0.91016,                0.83571,                0.87416,                0.68595,                0.99977,                0.76717,                 1.2163,             0.00019944,             0.00019944,             0.00019944
                     41,                 1.0737,                0.90633,                 1.1549,                0.90893,                0.83381,                0.87108,                0.67223,                  0.986,                0.74605,                 1.1971,             0.00020125,             0.00020125,             0.00020125
                     42,                0.91445,                0.64244,                  1.076,                0.90893,                0.83381,                0.87108,                0.67223,                  0.986,                0.74605,                 1.1971,              0.0002029,              0.0002029,              0.0002029
                     43,                 1.1008,                0.67891,                 1.1363,                0.92134,                0.83617,                0.87265,                0.66767,                0.98469,                0.73164,                 1.2009,             0.00020439,             0.00020439,             0.00020439
                     44,                0.94614,                0.64371,                 1.0912,                0.92134,                0.83617,                0.87265,                0.66767,                0.98469,                0.73164,                 1.2009,             0.00020571,             0.00020571,             0.00020571
                     45,                 1.1214,                0.77953,                 1.1513,                0.92481,                0.84815,                0.87694,                0.66915,                0.98533,                 0.7049,                 1.2012,             0.00020686,             0.00020686,             0.00020686
                     46,                 1.0167,                0.76026,                 1.0879,                0.92481,                0.84815,                0.87694,                0.66915,                0.98533,                 0.7049,                 1.2012,             0.00020785,             0.00020785,             0.00020785
                     47,                 1.2322,                0.76763,                  1.308,                  0.934,                0.84815,                0.87652,                 0.6827,                0.98053,                0.69847,                 1.2017,             0.00020868,             0.00020868,             0.00020868
                     48,                 1.2458,                0.76234,                 1.4444,                  0.934,                0.84815,                0.87652,                 0.6827,                0.98053,                0.69847,                 1.2017,             0.00020934,             0.00020934,             0.00020934
                     49,                 1.0741,                0.82832,                 1.1902,                0.93043,                0.84815,                0.87602,                0.70047,                0.96932,                0.69911,                 1.1993,             0.00020984,             0.00020984,             0.00020984
                     50,                 1.0682,                0.74171,                 1.1745,                0.93043,                0.84815,                0.87602,                0.70047,                0.96932,                0.69911,                 1.1993,             0.00021017,             0.00021017,             0.00021017
                     51,                0.89908,                0.63444,                 1.0554,                0.92075,                0.84815,                 0.8761,                0.71158,                0.97352,                0.70633,                 1.1903,             0.00021033,             0.00021033,             0.00021033
                     52,                 0.9303,                0.59758,                 1.0339,                0.92075,                0.84815,                 0.8761,                0.71158,                0.97352,                0.70633,                 1.1903,             0.00021033,             0.00021033,             0.00021033
                     53,                0.92036,                0.67767,                 1.1387,                0.92075,                0.84815,                 0.8761,                0.71158,                0.97352,                0.70633,                 1.1903,             0.00021017,             0.00021017,             0.00021017
                     54,                 1.1458,                0.74563,                  1.178,                 0.9612,                0.83665,                0.88094,                0.71189,                0.94779,                0.69283,                  1.169,             0.00020984,             0.00020984,             0.00020984
                     55,                0.90178,                0.68527,                 1.0928,                 0.9612,                0.83665,                0.88094,                0.71189,                0.94779,                0.69283,                  1.169,             0.00020935,             0.00020935,             0.00020935
                     56,                0.99535,                0.68557,                 1.1085,                 0.9612,                0.83665,                0.88094,                0.71189,                0.94779,                0.69283,                  1.169,             0.00020869,             0.00020869,             0.00020869
                     57,                 1.0741,                 0.7588,                 1.1777,                0.97024,                 0.8289,                0.88064,                0.71663,                0.92054,                0.66218,                 1.1525,             0.00020786,             0.00020786,             0.00020786
                     58,                0.88456,                0.67835,                 1.0834,                0.97024,                 0.8289,                0.88064,                0.71663,                0.92054,                0.66218,                 1.1525,             0.00020687,             0.00020687,             0.00020687
                     59,                0.80248,                0.67523,                 1.0406,                0.97024,                 0.8289,                0.88064,                0.71663,                0.92054,                0.66218,                 1.1525,             0.00020572,             0.00020572,             0.00020572
                     60,                 1.1877,                0.71553,                 1.3203,                0.96311,                0.83045,                0.88206,                0.72083,                0.91156,                0.66499,                 1.1503,              0.0002044,              0.0002044,              0.0002044
                     61,                0.92044,                 0.6264,                 1.0676,                0.96311,                0.83045,                0.88206,                0.72083,                0.91156,                0.66499,                 1.1503,             0.00020292,             0.00020292,             0.00020292
                     62,                0.99735,                0.74123,                 1.1114,                0.96311,                0.83045,                0.88206,                0.72083,                0.91156,                0.66499,                 1.1503,             0.00020127,             0.00020127,             0.00020127
                     63,                0.90057,                0.61295,                 1.0558,                0.95718,                0.83493,                0.88518,                0.71535,                0.91375,                0.66626,                  1.147,             0.00019946,             0.00019946,             0.00019946
                     64,                0.89996,                0.63105,                0.99707,                0.95718,                0.83493,                0.88518,                0.71535,                0.91375,                0.66626,                  1.147,             0.00019748,             0.00019748,             0.00019748
                     65,                0.91949,                0.65712,                 1.0878,                0.95718,                0.83493,                0.88518,                0.71535,                0.91375,                0.66626,                  1.147,             0.00019534,             0.00019534,             0.00019534
                     66,                 1.2958,                0.89557,                 1.4543,                0.94323,                  0.846,                0.88536,                0.72254,                 0.9164,                0.66085,                 1.1496,             0.00019303,             0.00019303,             0.00019303
                     67,                0.90354,                0.65664,                 1.1041,                0.94323,                  0.846,                0.88536,                0.72254,                 0.9164,                0.66085,                 1.1496,             0.00019055,             0.00019055,             0.00019055
                     68,                 1.1482,                0.73382,                 1.2844,                0.94323,                  0.846,                0.88536,                0.72254,                 0.9164,                0.66085,                 1.1496,             0.00018792,             0.00018792,             0.00018792
                     69,                0.98691,                0.68275,                 1.0643,                0.95469,                0.84837,                0.89181,                0.70891,                0.92265,                0.66367,                  1.156,             0.00018511,             0.00018511,             0.00018511
                     70,                0.94887,                0.59177,                 1.1438,                0.95469,                0.84837,                0.89181,                0.70891,                0.92265,                0.66367,                  1.156,             0.00018214,             0.00018214,             0.00018214
                     71,                 1.0846,                0.77321,                 1.1845,                0.95469,                0.84837,                0.89181,                0.70891,                0.92265,                0.66367,                  1.156,             0.00017901,             0.00017901,             0.00017901
                     72,                0.95365,                0.62211,                 1.0857,                0.95904,                0.84892,                0.89201,                0.71287,                0.91599,                  0.659,                 1.1531,             0.00017571,             0.00017571,             0.00017571
                     73,                  1.017,                0.64898,                 1.1265,                0.95904,                0.84892,                0.89201,                0.71287,                0.91599,                  0.659,                 1.1531,             0.00017225,             0.00017225,             0.00017225
                     74,                 1.0886,                0.74251,                 1.2802,                0.95904,                0.84892,                0.89201,                0.71287,                0.91599,                  0.659,                 1.1531,             0.00016862,             0.00016862,             0.00016862
                     75,                 1.1825,                0.87094,                 1.1898,                0.96399,                 0.8502,                0.89487,                0.71694,                0.91636,                0.65704,                 1.1541,             0.00016483,             0.00016483,             0.00016483
                     76,                 1.1011,                0.71793,                 1.1845,                0.96399,                 0.8502,                0.89487,                0.71694,                0.91636,                0.65704,                 1.1541,             0.00016087,             0.00016087,             0.00016087
                     77,                 1.0091,                0.60426,                 1.0422,                0.96399,                 0.8502,                0.89487,                0.71694,                0.91636,                0.65704,                 1.1541,             0.00015675,             0.00015675,             0.00015675
                     78,                0.89276,                0.64964,                 1.0546,                0.95111,                0.84952,                0.89557,                0.71798,                0.93175,                0.65538,                 1.1568,             0.00015246,             0.00015246,             0.00015246
                     79,                 1.0182,                 0.6967,                 1.2501,                0.95111,                0.84952,                0.89557,                0.71798,                0.93175,                0.65538,                 1.1568,             0.00014801,             0.00014801,             0.00014801
                     80,                0.78401,                0.58671,                 1.0472,                0.95111,                0.84952,                0.89557,                0.71798,                0.93175,                0.65538,                 1.1568,             0.00014339,             0.00014339,             0.00014339
                     81,                 1.0216,                0.63954,                 1.1336,                0.97973,                 0.8486,                0.89556,                0.71077,                0.95132,                0.64474,                 1.1574,             0.00013861,             0.00013861,             0.00013861
                     82,                 1.1008,                0.72111,                 1.2151,                0.97973,                 0.8486,                0.89556,                0.71077,                0.95132,                0.64474,                 1.1574,             0.00013366,             0.00013366,             0.00013366
                     83,                 1.0885,                0.69583,                  1.235,                0.97973,                 0.8486,                0.89556,                0.71077,                0.95132,                0.64474,                 1.1574,             0.00012855,             0.00012855,             0.00012855
                     84,                0.70562,                0.56199,                0.91943,                0.98052,                0.84814,                0.89541,                0.71647,                0.94981,                0.62962,                  1.156,             0.00012327,             0.00012327,             0.00012327
                     85,                0.87215,                0.60451,                 1.0512,                0.98052,                0.84814,                0.89541,                0.71647,                0.94981,                0.62962,                  1.156,             0.00011783,             0.00011783,             0.00011783
                     86,                 1.1555,                0.73771,                 1.3577,                0.98052,                0.84814,                0.89541,                0.71647,                0.94981,                0.62962,                  1.156,             0.00011223,             0.00011223,             0.00011223
                     87,                 1.0444,                0.76469,                 1.2213,                0.98052,                0.84814,                0.89541,                0.71647,                0.94981,                0.62962,                  1.156,             0.00010645,             0.00010645,             0.00010645
                     88,                0.92973,                0.58706,                 1.1603,                0.97934,                0.84872,                0.89681,                 0.7229,                0.93286,                0.61319,                 1.1514,             0.00010052,             0.00010052,             0.00010052
                     89,                 0.9034,                0.62343,                 1.0852,                0.97934,                0.84872,                0.89681,                 0.7229,                0.93286,                0.61319,                 1.1514,             9.4416e-05,             9.4416e-05,             9.4416e-05
                     90,                0.96158,                0.68903,                 1.1678,                0.97934,                0.84872,                0.89681,                 0.7229,                0.93286,                0.61319,                 1.1514,             8.8149e-05,             8.8149e-05,             8.8149e-05
                     91,                0.93425,                0.69854,                 1.1351,                0.97934,                0.84872,                0.89681,                 0.7229,                0.93286,                0.61319,                 1.1514,             8.1717e-05,             8.1717e-05,             8.1717e-05
                     92,                 1.0345,                0.72534,                 1.2329,                 0.9779,                0.84929,                0.89854,                 0.7253,                0.91645,                0.60912,                 1.1472,             7.5121e-05,             7.5121e-05,             7.5121e-05
                     93,                0.92764,                0.62345,                 1.1655,                 0.9779,                0.84929,                0.89854,                 0.7253,                0.91645,                0.60912,                 1.1472,             6.8359e-05,             6.8359e-05,             6.8359e-05
