                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.92228,                 0.6511,                 1.0762,                0.97813,                0.84933,                0.89898,                 0.7307,                0.91521,                0.60799,                 1.1472,                      0,                      0,                      0
                      2,                0.93106,                0.67065,                 1.1165,                0.97798,                0.84951,                0.89858,                0.72547,                0.91079,                0.60534,                 1.1462,             8.3218e-06,             8.3218e-06,             8.3218e-06
                      3,                 1.0278,                0.69179,                 1.2296,                0.97789,                0.84967,                0.90005,                0.72781,                0.89948,                0.60089,                 1.1406,             1.6627e-05,             1.6627e-05,             1.6627e-05
                      4,                0.95554,                0.65719,                 1.1892,                0.97823,                 0.8497,                0.90165,                0.72881,                0.88257,                0.58823,                 1.1304,             2.4916e-05,             2.4916e-05,             2.4916e-05
                      5,                0.89048,                0.59865,                 1.0871,                0.97709,                0.84997,                0.90174,                0.73482,                0.87019,                0.58553,                 1.1224,             3.3188e-05,             3.3188e-05,             3.3188e-05
                      6,                0.88333,                0.60234,                 1.0688,                 0.9547,                 0.8504,                  0.901,                0.72511,                  0.864,                0.58254,                 1.1189,             4.1444e-05,             4.1444e-05,             4.1444e-05
                      7,                 1.0226,                0.68745,                 1.2627,                0.94185,                0.85031,                0.90281,                0.72887,                0.86856,                0.57892,                 1.1153,             4.9683e-05,             4.9683e-05,             4.9683e-05
                      8,                0.91643,                0.63705,                 1.1011,                0.95324,                0.84916,                0.90225,                0.72169,                0.88833,                 0.5745,                 1.1172,             5.7906e-05,             5.7906e-05,             5.7906e-05
                      9,                 1.0579,                  0.662,                 1.2022,                0.94711,                 0.8483,                0.90443,                0.72451,                 0.8874,                0.57346,                 1.1169,             6.6112e-05,             6.6112e-05,             6.6112e-05
                     10,                0.87902,                0.59475,                 1.0958,                0.95494,                0.84823,                0.90559,                0.72977,                0.87876,                0.57197,                 1.1166,             7.4302e-05,             7.4302e-05,             7.4302e-05
                     11,                 1.0134,                0.67647,                 1.2085,                0.96451,                0.84932,                0.90734,                0.73853,                0.86455,                0.56625,                 1.1143,             8.2475e-05,             8.2475e-05,             8.2475e-05
                     12,                 1.1066,                0.71186,                 1.2489,                0.97302,                0.85028,                0.90744,                0.75034,                0.85059,                0.55782,                 1.1122,             9.0632e-05,             9.0632e-05,             9.0632e-05
                     13,                 1.0678,                0.61781,                 1.0996,                0.97436,                0.85116,                0.90965,                 0.7544,                0.84604,                0.55294,                 1.1145,             9.8772e-05,             9.8772e-05,             9.8772e-05
                     14,                 1.1348,                0.65325,                 1.2171,                0.97619,                0.85188,                0.91668,                0.75305,                0.84921,                0.55288,                 1.1148,              0.0001069,              0.0001069,              0.0001069
                     15,                0.84748,                0.59934,                 1.0479,                0.97741,                0.85258,                0.92166,                0.75333,                0.86434,                0.56732,                 1.1175,               0.000115,               0.000115,               0.000115
                     16,                0.74253,                0.55757,                0.96953,                  0.839,                0.91667,                0.92386,                0.74815,                0.86341,                0.57663,                 1.1152,             0.00012309,             0.00012309,             0.00012309
                     17,                0.95186,                0.61622,                 1.1502,                0.84592,                0.91367,                0.92335,                0.74814,                0.86663,                0.58177,                 1.1138,             0.00013117,             0.00013117,             0.00013117
                     18,                0.75387,                 0.5406,                0.93348,                0.84592,                0.91367,                0.92335,                0.74814,                0.86663,                0.58177,                 1.1138,             0.00013923,             0.00013923,             0.00013923
                     19,                 0.9891,                0.61147,                 1.1602,                0.88377,                0.89683,                0.92283,                0.74766,                 0.8774,                0.58963,                 1.1137,             0.00014727,             0.00014727,             0.00014727
                     20,                0.97431,                0.58127,                 1.0676,                0.88377,                0.89683,                0.92283,                0.74766,                 0.8774,                0.58963,                 1.1137,             0.00015529,             0.00015529,             0.00015529
                     21,                 1.0246,                0.63053,                 1.1147,                0.96918,                0.85185,                0.91185,                0.73211,                0.90813,                0.61794,                 1.1205,              0.0001633,              0.0001633,              0.0001633
                     22,                 0.8661,                0.56729,                 1.0193,                0.96918,                0.85185,                0.91185,                0.73211,                0.90813,                0.61794,                 1.1205,             0.00017129,             0.00017129,             0.00017129
                     23,                0.95592,                0.70535,                 1.1933,                 0.9614,                0.84815,                0.91097,                0.72391,                0.92196,                0.62763,                 1.1151,             0.00017927,             0.00017927,             0.00017927
                     24,                0.90531,                0.66254,                 1.1083,                 0.9614,                0.84815,                0.91097,                0.72391,                0.92196,                0.62763,                 1.1151,             0.00018723,             0.00018723,             0.00018723
                     25,                0.84888,                0.54987,                 1.0241,                0.94007,                0.84815,                0.90764,                0.70954,                0.92585,                0.63703,                 1.1091,             0.00019517,             0.00019517,             0.00019517
                     26,                0.96052,                  0.671,                 1.0678,                0.94007,                0.84815,                0.90764,                0.70954,                0.92585,                0.63703,                 1.1091,              0.0002031,              0.0002031,              0.0002031
                     27,                 1.0232,                0.69672,                 1.1042,                0.92752,                0.84815,                0.90347,                0.70996,                0.93608,                0.64153,                 1.1117,             0.00021101,             0.00021101,             0.00021101
                     28,                 1.2374,                0.73824,                 1.2561,                0.92752,                0.84815,                0.90347,                0.70996,                0.93608,                0.64153,                 1.1117,              0.0002189,              0.0002189,              0.0002189
                     29,                 0.9808,                0.61101,                 1.1764,                0.93075,                0.84815,                0.90448,                0.69595,                0.93881,                0.62826,                 1.1168,             0.00022677,             0.00022677,             0.00022677
                     30,                 1.0124,                0.69187,                 1.1446,                0.93075,                0.84815,                0.90448,                0.69595,                0.93881,                0.62826,                 1.1168,             0.00023463,             0.00023463,             0.00023463
                     31,                0.98706,                0.65702,                 1.1065,                0.92869,                0.84815,                0.90798,                0.71023,                0.91614,                0.61277,                 1.1184,             0.00024248,             0.00024248,             0.00024248
                     32,                0.91106,                0.66863,                 1.0312,                0.92869,                0.84815,                0.90798,                0.71023,                0.91614,                0.61277,                 1.1184,              0.0002503,              0.0002503,              0.0002503
                     33,                0.96335,                0.64589,                 1.0431,                0.92319,                0.85421,                0.91138,                 0.7057,                0.89736,                0.59532,                 1.1138,             0.00025812,             0.00025812,             0.00025812
                     34,                 1.1666,                0.79871,                 1.1497,                0.92319,                0.85421,                0.91138,                 0.7057,                0.89736,                0.59532,                 1.1138,             0.00026591,             0.00026591,             0.00026591
                     35,                 1.0275,                0.76329,                 1.1927,                0.82909,                 0.9099,                0.92011,                0.68909,                0.91069,                0.58482,                 1.1143,             0.00027369,             0.00027369,             0.00027369
                     36,                 1.0777,                0.65173,                 1.2113,                0.82909,                 0.9099,                0.92011,                0.68909,                0.91069,                0.58482,                 1.1143,             0.00028145,             0.00028145,             0.00028145
                     37,                0.83826,                0.56005,                 1.0508,                0.92716,                0.85485,                0.92509,                0.71051,                0.90258,                0.56922,                 1.1141,             0.00028919,             0.00028919,             0.00028919
                     38,                0.89704,                0.62876,                 1.1595,                0.92716,                0.85485,                0.92509,                0.71051,                0.90258,                0.56922,                 1.1141,             0.00029692,             0.00029692,             0.00029692
                     39,                 0.7339,                0.55683,                 1.0135,                0.92597,                0.85519,                0.92093,                0.72617,                0.87277,                0.56186,                 1.0997,             0.00030463,             0.00030463,             0.00030463
                     40,                 1.0738,                0.68636,                 1.2241,                0.92597,                0.85519,                0.92093,                0.72617,                0.87277,                0.56186,                 1.0997,             0.00031233,             0.00031233,             0.00031233
                     41,                 1.0046,                 0.7133,                  1.084,                0.92311,                0.85825,                0.91341,                0.72876,                0.86726,                0.56917,                 1.0983,             0.00032001,             0.00032001,             0.00032001
                     42,                0.83762,                 0.5318,                  1.018,                0.92311,                0.85825,                0.91341,                0.72876,                0.86726,                0.56917,                 1.0983,             0.00032767,             0.00032767,             0.00032767
                     43,                0.95505,                0.55503,                 1.0324,                0.93143,                0.85533,                0.92239,                0.73989,                0.85806,                0.57721,                  1.099,             0.00033531,             0.00033531,             0.00033531
                     44,                0.81045,                0.54582,                 1.0188,                0.93143,                0.85533,                0.92239,                0.73989,                0.85806,                0.57721,                  1.099,             0.00034294,             0.00034294,             0.00034294
                     45,                0.99779,                0.58737,                 1.0778,                0.93128,                0.85691,                0.92592,                0.75177,                0.82066,                0.58288,                 1.0944,             0.00035055,             0.00035055,             0.00035055
                     46,                0.95965,                 0.6969,                 1.0397,                0.93128,                0.85691,                0.92592,                0.75177,                0.82066,                0.58288,                 1.0944,             0.00035815,             0.00035815,             0.00035815
                     47,                  1.053,                0.65361,                 1.1839,                0.92044,                0.86075,                0.91911,                0.75875,                0.77617,                0.60092,                 1.0872,             0.00036573,             0.00036573,             0.00036573
                     48,                 1.0866,                 0.7041,                 1.2655,                0.92044,                0.86075,                0.91911,                0.75875,                0.77617,                0.60092,                 1.0872,             0.00037329,             0.00037329,             0.00037329
                     49,                0.88029,                0.64051,                 1.0905,                0.92133,                0.85284,                0.91673,                0.75776,                 0.8202,                0.61541,                 1.1022,             0.00038084,             0.00038084,             0.00038084
                     50,                0.94331,                0.63381,                 1.0972,                0.92133,                0.85284,                0.91673,                0.75776,                 0.8202,                0.61541,                 1.1022,             0.00038837,             0.00038837,             0.00038837
                     51,                0.78404,                0.54324,                 0.9867,                0.84388,                0.88145,                0.91339,                0.75186,                0.85596,                0.62793,                 1.1142,             0.00039588,             0.00039588,             0.00039588
                     52,                0.91753,                0.54525,                0.99593,                0.84388,                0.88145,                0.91339,                0.75186,                0.85596,                0.62793,                 1.1142,             0.00040338,             0.00040338,             0.00040338
                     53,                0.87134,                0.63112,                 1.0956,                0.84388,                0.88145,                0.91339,                0.75186,                0.85596,                0.62793,                 1.1142,             0.00041086,             0.00041086,             0.00041086
                     54,                 1.0733,                0.63211,                 1.1095,                0.92276,                0.85062,                0.90687,                0.72873,                0.89316,                0.61279,                 1.1128,             0.00041833,             0.00041833,             0.00041833
                     55,                0.86635,                0.66032,                  1.053,                0.92276,                0.85062,                0.90687,                0.72873,                0.89316,                0.61279,                 1.1128,             0.00042577,             0.00042577,             0.00042577
                     56,                0.97096,                0.61972,                 1.0797,                0.92276,                0.85062,                0.90687,                0.72873,                0.89316,                0.61279,                 1.1128,              0.0004332,              0.0004332,              0.0004332
                     57,                0.97022,                0.67859,                 1.0954,                0.89179,                0.86187,                 0.9197,                0.72881,                0.90911,                0.58326,                 1.1128,             0.00044062,             0.00044062,             0.00044062
                     58,                0.92497,                0.68075,                 1.0678,                0.89179,                0.86187,                 0.9197,                0.72881,                0.90911,                0.58326,                 1.1128,             0.00044802,             0.00044802,             0.00044802
                     59,                0.81152,                0.61952,                 1.0502,                0.89179,                0.86187,                 0.9197,                0.72881,                0.90911,                0.58326,                 1.1128,              0.0004554,              0.0004554,              0.0004554
                     60,                 1.1374,                0.67458,                 1.1916,                0.91379,                0.83953,                 0.9061,                0.71351,                0.89833,                0.58364,                  1.095,             0.00046276,             0.00046276,             0.00046276
                     61,                0.91738,                0.54378,                 1.0554,                0.91379,                0.83953,                 0.9061,                0.71351,                0.89833,                0.58364,                  1.095,             0.00047011,             0.00047011,             0.00047011
                     62,                0.90914,                0.65481,                 1.0611,                0.91379,                0.83953,                 0.9061,                0.71351,                0.89833,                0.58364,                  1.095,             0.00047744,             0.00047744,             0.00047744
                     63,                0.91229,                0.59256,                 1.0334,                0.95355,                0.81802,                0.90853,                0.72187,                0.91456,                0.60067,                 1.1145,             0.00048476,             0.00048476,             0.00048476
                     64,                0.95781,                0.58459,                 1.0187,                0.95355,                0.81802,                0.90853,                0.72187,                0.91456,                0.60067,                 1.1145,             0.00049206,             0.00049206,             0.00049206
                     65,                0.85052,                0.55771,                 1.0567,                0.95355,                0.81802,                0.90853,                0.72187,                0.91456,                0.60067,                 1.1145,             0.00049934,             0.00049934,             0.00049934
                     66,                 1.1846,                0.74137,                 1.3185,                0.95047,                0.83754,                0.90828,                0.69392,                 1.0518,                0.62701,                 1.1961,             0.00050661,             0.00050661,             0.00050661
                     67,                0.94911,                0.66784,                 1.0967,                0.95047,                0.83754,                0.90828,                0.69392,                 1.0518,                0.62701,                 1.1961,             0.00051386,             0.00051386,             0.00051386
                     68,                 1.0947,                0.66671,                 1.2234,                0.95047,                0.83754,                0.90828,                0.69392,                 1.0518,                0.62701,                 1.1961,             0.00052109,             0.00052109,             0.00052109
