                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4784,                0.99239,                 1.3037,                0.52673,                0.51481,                0.53631,                0.38094,                 1.4146,                0.99235,                 1.3822,                      0,                      0,                      0
                      2,                 1.4782,                 1.0805,                 1.3734,                0.52916,                0.51974,                0.54466,                0.38568,                 1.3972,                0.97746,                 1.3699,             8.2475e-06,             8.2475e-06,             8.2475e-06
                      3,                 1.3322,                0.80124,                 1.3236,                0.53015,                 0.5127,                0.54325,                0.38337,                  1.365,                0.94995,                 1.3465,              1.633e-05,              1.633e-05,              1.633e-05
                      4,                 1.5211,                 1.0951,                 1.3537,                0.53701,                 0.5141,                0.54805,                0.38893,                 1.3234,                 0.9189,                 1.3167,             2.4248e-05,             2.4248e-05,             2.4248e-05
                      5,                 1.2428,                0.91916,                 1.2818,                0.53748,                0.52113,                0.55451,                0.40474,                 1.2644,                0.88487,                 1.2783,             3.2001e-05,             3.2001e-05,             3.2001e-05
                      6,                 1.2983,                0.84927,                 1.2901,                0.53086,                0.55881,                0.56336,                0.42337,                 1.1973,                0.85016,                 1.2389,             3.9588e-05,             3.9588e-05,             3.9588e-05
                      7,                 1.1732,                0.85257,                  1.291,                0.53191,                0.56199,                0.56333,                0.43672,                 1.1238,                0.83076,                 1.1985,             4.7011e-05,             4.7011e-05,             4.7011e-05
                      8,                 1.3257,                 1.1105,                 1.2775,                0.53294,                0.57256,                0.57085,                0.44633,                 1.0655,                0.81091,                 1.1687,             5.4269e-05,             5.4269e-05,             5.4269e-05
                      9,                  1.057,                0.83176,                 1.1702,                0.54322,                0.56889,                0.57964,                0.45493,                 1.0256,                0.79485,                 1.1451,             6.1362e-05,             6.1362e-05,             6.1362e-05
                     10,                 1.1798,                0.75688,                 1.1547,                0.53562,                0.57883,                0.57954,                0.46117,                0.99599,                0.79087,                 1.1281,              6.829e-05,              6.829e-05,              6.829e-05
                     11,                 1.2059,                 1.0902,                 1.2636,                0.54989,                0.59654,                0.59495,                 0.4659,                 0.9816,                0.80339,                  1.121,             7.5053e-05,             7.5053e-05,             7.5053e-05
                     12,                 1.2334,                0.86466,                 1.1793,                0.56351,                0.57819,                0.63117,                0.47102,                0.98811,                0.81925,                 1.1138,             8.1651e-05,             8.1651e-05,             8.1651e-05
                     13,                 1.1884,                 0.9059,                 1.2241,                 0.7632,                0.58454,                 0.6404,                0.48505,                0.98228,                0.82648,                 1.1038,             8.8085e-05,             8.8085e-05,             8.8085e-05
                     14,                0.99932,                0.74929,                 1.0862,                0.76667,                0.58545,                0.64161,                0.48455,                0.97465,                0.81007,                 1.0971,             9.4353e-05,             9.4353e-05,             9.4353e-05
                     15,                 1.0629,                0.75721,                 1.1542,                0.77437,                0.58141,                0.64477,                0.49228,                0.96294,                0.78792,                 1.0922,             0.00010046,             0.00010046,             0.00010046
                     16,                 1.0663,                0.78065,                 1.0963,                0.77715,                0.59031,                0.65537,                0.49995,                0.95739,                0.78116,                 1.0883,             0.00010639,             0.00010639,             0.00010639
                     17,                 1.0466,                0.85404,                 1.1156,                  0.777,                0.59259,                0.69211,                0.52332,                0.96157,                0.76306,                 1.0864,             0.00011217,             0.00011217,             0.00011217
                     18,                 1.0488,                 0.7867,                 1.1478,                  0.777,                0.59259,                0.69211,                0.52332,                0.96157,                0.76306,                 1.0864,             0.00011778,             0.00011778,             0.00011778
                     19,                0.98066,                0.72873,                 1.0676,                0.74161,                0.59284,                0.70234,                0.51996,                0.96789,                0.76683,                 1.0853,             0.00012322,             0.00012322,             0.00012322
                     20,                 1.1535,                0.78753,                 1.1107,                0.74161,                0.59284,                0.70234,                0.51996,                0.96789,                0.76683,                 1.0853,              0.0001285,              0.0001285,              0.0001285
