                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.74733,                0.48029,                0.96569,                0.96215,                0.95358,                0.95597,                0.80627,                0.58111,                0.38969,                 0.8954,                      0,                      0,                      0
                      2,                0.76284,                0.50422,                0.99244,                0.96217,                0.95319,                0.95595,                0.80816,                0.57841,                0.38837,                 0.8943,             8.1651e-06,             8.1651e-06,             8.1651e-06
                      3,                0.64274,                0.41668,                0.95814,                0.96265,                 0.9528,                0.95595,                0.80194,                  0.573,                0.38393,                 0.8927,                1.6e-05,                1.6e-05,                1.6e-05
                      4,                0.75399,                0.51147,                0.98034,                0.96313,                0.95235,                0.95593,                0.80199,                0.56812,                0.37825,                0.89188,             2.3506e-05,             2.3506e-05,             2.3506e-05
                      5,                0.65943,                0.43446,                0.96356,                0.96381,                0.95192,                0.95597,                0.80307,                 0.5602,                0.37538,                0.89022,             3.0681e-05,             3.0681e-05,             3.0681e-05
                      6,                0.73137,                0.46992,                0.99533,                0.96601,                0.95192,                0.95599,                0.79702,                0.55662,                0.37536,                0.88921,             3.7527e-05,             3.7527e-05,             3.7527e-05
                      7,                0.61596,                0.43708,                0.95533,                0.96765,                0.95204,                0.95604,                0.80139,                0.55327,                0.37503,                0.88808,             4.4042e-05,             4.4042e-05,             4.4042e-05
                      8,                0.67904,                0.44994,                0.95952,                0.96816,                0.95311,                0.95605,                0.79734,                0.54596,                0.37115,                0.88613,             5.0228e-05,             5.0228e-05,             5.0228e-05
                      9,                0.60322,                0.39733,                 0.9431,                0.96877,                0.95362,                0.95608,                0.79236,                0.54304,                0.36905,                0.88427,             5.6084e-05,             5.6084e-05,             5.6084e-05
                     10,                0.64909,                0.42621,                0.92124,                0.96929,                 0.9538,                0.95614,                0.79475,                0.53981,                0.36848,                0.88307,              6.161e-05,              6.161e-05,              6.161e-05
                     11,                0.67167,                0.48717,                0.98307,                0.96926,                0.95384,                0.95612,                0.79279,                0.53763,                0.36935,                0.88288,             6.6807e-05,             6.6807e-05,             6.6807e-05
                     12,                0.76612,                0.46873,                0.95465,                0.96948,                0.95387,                0.95608,                0.79374,                0.53462,                0.37026,                0.88219,             7.1673e-05,             7.1673e-05,             7.1673e-05
                     13,                0.66677,                0.44323,                0.97806,                0.96972,                0.95379,                0.95605,                0.79838,                0.53401,                0.37183,                0.88073,              7.621e-05,              7.621e-05,              7.621e-05
                     14,                0.59186,                0.41758,                0.92075,                0.96979,                0.95389,                0.95597,                0.79278,                0.53966,                0.37734,                0.88149,             8.0416e-05,             8.0416e-05,             8.0416e-05
                     15,                0.62469,                0.42681,                0.96495,                0.97031,                0.95373,                0.95591,                0.79367,                0.54803,                 0.3812,                0.88478,             8.4293e-05,             8.4293e-05,             8.4293e-05
                     16,                0.67111,                0.44573,                0.93672,                0.97049,                0.95377,                0.95588,                0.79606,                0.55966,                0.38395,                0.88848,              8.784e-05,              8.784e-05,              8.784e-05
                     17,                0.64837,                0.43212,                0.93696,                0.97122,                0.95395,                0.95587,                0.80249,                0.57254,                0.38668,                 0.8919,             9.1057e-05,             9.1057e-05,             9.1057e-05
                     18,                0.71165,                 0.4523,                0.97596,                0.97122,                0.95395,                0.95587,                0.80249,                0.57254,                0.38668,                 0.8919,             9.3944e-05,             9.3944e-05,             9.3944e-05
                     19,                0.58314,                 0.4071,                0.92415,                0.91492,                   0.96,                0.94785,                0.79983,                0.58962,                0.39023,                 0.8979,             9.6501e-05,             9.6501e-05,             9.6501e-05
                     20,                0.79775,                0.49634,                0.97409,                0.91492,                   0.96,                0.94785,                0.79983,                0.58962,                0.39023,                 0.8979,             9.8729e-05,             9.8729e-05,             9.8729e-05
                     21,                 0.6557,                0.41776,                0.98311,                0.91952,                0.95708,                0.94788,                0.79246,                0.58928,                0.39146,                0.89815,             0.00010063,             0.00010063,             0.00010063
                     22,                 0.6885,                0.44879,                0.95925,                0.91952,                0.95708,                0.94788,                0.79246,                0.58928,                0.39146,                0.89815,             0.00010219,             0.00010219,             0.00010219
