                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0807,                 1.0298,                 1.1565,                0.81141,                0.56567,                0.69144,                0.51794,                0.93049,                0.87711,                 1.1034,              2.499e-05,              2.499e-05,              2.499e-05
                      2,                 1.0491,                 1.0637,                 1.1401,                0.88695,                0.55072,                0.73772,                0.52927,                0.95608,                0.81639,                 1.1005,             5.7155e-05,             5.7155e-05,             5.7155e-05
                      3,                 1.0057,                0.93265,                 1.0985,                0.71409,                0.66046,                0.72344,                0.51511,                0.97217,                0.87266,                 1.1021,             8.8001e-05,             8.8001e-05,             8.8001e-05
                      4,                 1.0216,                0.86538,                 1.0802,                0.76198,                0.65254,                0.78683,                0.56789,                0.93625,                0.80584,                 1.0935,             0.00011753,             0.00011753,             0.00011753
                      5,                 1.0218,                0.77468,                  1.092,                 0.8439,                0.64147,                0.79585,                 0.5598,                0.92837,                0.73007,                 1.0888,             0.00014574,             0.00014574,             0.00014574
                      6,                0.97058,                0.71677,                 1.0887,                0.72547,                  0.682,                0.75971,                0.52583,                0.92687,                0.71054,                 1.0833,             0.00017262,             0.00017262,             0.00017262
                      7,                 0.9325,                0.71775,                 1.0679,                0.71427,                0.65288,                0.76311,                0.53906,                0.90775,                0.71167,                 1.0737,             0.00019819,             0.00019819,             0.00019819
                      8,                0.93296,                 0.7873,                 1.0899,                0.81596,                0.64203,                0.80898,                0.57172,                0.90966,                0.71094,                  1.079,             0.00022244,             0.00022244,             0.00022244
                      9,                0.97507,                0.74879,                 1.0659,                0.79009,                0.68138,                0.83733,                0.59453,                0.92322,                0.81625,                 1.0915,             0.00024537,             0.00024537,             0.00024537
                     10,                0.98284,                0.78114,                 1.0811,                0.79302,                0.76148,                0.87206,                0.62501,                0.88413,                0.75805,                  1.072,             0.00026698,             0.00026698,             0.00026698
                     11,                0.93532,                0.71254,                 1.0562,                0.72787,                0.84683,                0.88743,                0.63266,                0.89482,                 0.7265,                 1.0698,             0.00028727,             0.00028727,             0.00028727
                     12,                0.98325,                 0.7238,                 1.0958,                0.77921,                0.83594,                0.89825,                0.63636,                0.88705,                0.69867,                 1.0607,             0.00030624,             0.00030624,             0.00030624
                     13,                0.93505,                0.66316,                 1.0386,                0.77735,                0.87561,                0.90509,                0.64347,                 0.8828,                0.68613,                 1.0596,             0.00032389,             0.00032389,             0.00032389
                     14,                0.91784,                0.69447,                 1.0569,                0.80102,                0.87113,                0.90966,                0.65538,                0.86624,                0.65776,                 1.0514,             0.00034022,             0.00034022,             0.00034022
                     15,                0.91119,                0.67216,                 1.0395,                0.80933,                0.84256,                0.92104,                0.66328,                 0.8549,                0.62619,                 1.0391,             0.00035523,             0.00035523,             0.00035523
