                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93737,                    0.9,                  1.341,                0.86492,                0.88908,                0.92826,                0.74636,                0.75594,                0.66684,                   1.25,              2.499e-05,              2.499e-05,              2.499e-05
                      2,                0.85279,                0.80332,                 1.3169,                0.87146,                0.88345,                0.93042,                 0.7436,                0.76849,                0.66763,                 1.2608,             5.8252e-05,             5.8252e-05,             5.8252e-05
                      3,                 1.0485,                0.97617,                 1.3129,                0.85507,                0.87323,                0.91474,                0.71754,                0.81377,                0.71677,                 1.2943,             9.1449e-05,             9.1449e-05,             9.1449e-05
                      4,                0.88566,                0.80256,                 1.2827,                0.81832,                 0.9016,                0.91656,                0.72086,                0.78801,                0.70706,                 1.2752,             0.00012458,             0.00012458,             0.00012458
                      5,                0.99933,                 1.0571,                 1.3693,                0.89309,                0.85139,                0.92737,                0.72892,                0.79599,                0.71935,                 1.2702,             0.00015764,             0.00015764,             0.00015764
                      6,                   1.04,                0.90245,                 1.4277,                0.80031,                0.92952,                0.91962,                0.72373,                0.80663,                0.76304,                 1.2737,             0.00019064,             0.00019064,             0.00019064
                      7,                 1.0724,                0.91329,                 1.2919,                0.78324,                0.95124,                0.92268,                0.73036,                0.78858,                0.73489,                  1.272,             0.00022357,             0.00022357,             0.00022357
                      8,                0.94488,                0.88452,                 1.3115,                0.93459,                0.81712,                 0.9273,                 0.7255,                0.80641,                0.68964,                 1.2845,             0.00025644,             0.00025644,             0.00025644
                      9,                 1.1699,                 1.3754,                 1.6387,                0.88829,                0.82535,                0.92781,                0.72303,                0.84868,                0.74576,                 1.3038,             0.00028924,             0.00028924,             0.00028924
                     10,                0.97274,                0.85389,                 1.3129,                0.87976,                0.83248,                0.92563,                0.70829,                0.85708,                0.75468,                 1.2991,             0.00032198,             0.00032198,             0.00032198
                     11,                 1.0463,                0.98506,                 1.3381,                0.90552,                0.83012,                0.92339,                 0.7215,                0.82931,                0.72039,                  1.293,             0.00035464,             0.00035464,             0.00035464
                     12,                0.99178,                0.88986,                 1.3954,                0.81172,                0.91761,                0.91746,                0.71624,                0.82094,                0.71092,                 1.2929,             0.00038725,             0.00038725,             0.00038725
                     13,                 1.0651,                 1.0418,                 1.4987,                0.82328,                0.88699,                0.91234,                0.70872,                0.80743,                0.72232,                 1.2868,             0.00041978,             0.00041978,             0.00041978
                     14,                 1.0824,                0.82425,                 1.2858,                0.83273,                0.88697,                0.93071,                0.72264,                0.83189,                0.72242,                 1.2962,             0.00045225,             0.00045225,             0.00045225
                     15,                 1.1781,                 1.0996,                 1.5855,                0.79903,                0.95416,                0.94944,                0.73354,                0.85201,                0.75267,                 1.3051,             0.00048466,             0.00048466,             0.00048466
                     16,                 1.0255,                0.85468,                 1.3805,                 0.8132,                0.92443,                0.94231,                0.73193,                0.82075,                 0.7166,                 1.2804,               0.000517,               0.000517,               0.000517
                     17,                  1.098,                 1.0349,                 1.4828,                0.87164,                0.86203,                0.93204,                0.71349,                  0.841,                0.71809,                 1.2812,             0.00054927,             0.00054927,             0.00054927
                     18,                0.96405,                  0.802,                 1.3163,                0.78552,                 0.8643,                0.90174,                0.64879,                0.96599,                0.78768,                 1.3319,             0.00058148,             0.00058148,             0.00058148
                     19,                0.96865,                0.84163,                 1.2803,                0.75732,                0.84866,                0.88682,                0.66911,                0.86856,                0.79578,                 1.2796,             0.00061362,             0.00061362,             0.00061362
                     20,                0.98358,                0.84487,                 1.3212,                0.81344,                0.85827,                0.91102,                0.69634,                0.84848,                0.76897,                 1.2804,             0.00064569,             0.00064569,             0.00064569
                     21,                  1.219,                0.90589,                 1.3068,                0.83335,                0.90757,                0.92138,                0.69022,                0.88439,                0.75924,                 1.3194,              0.0006777,              0.0006777,              0.0006777
                     22,                0.99363,                0.98371,                 1.4443,                0.74761,                0.85977,                0.89358,                0.67059,                0.88608,                 0.7642,                 1.3179,             0.00070964,             0.00070964,             0.00070964
                     23,                0.95584,                0.89389,                 1.2728,                0.82821,                0.81066,                0.89073,                0.68512,                0.84529,                0.72029,                 1.2898,             0.00074152,             0.00074152,             0.00074152
                     24,                0.93685,                 0.9193,                 1.2543,                0.87493,                 0.8888,                0.92116,                0.71505,                0.81606,                0.69018,                 1.2714,             0.00077333,             0.00077333,             0.00077333
                     25,                0.94928,                 0.8944,                 1.3664,                0.85111,                 0.9226,                0.92101,                 0.7085,                0.82361,                 0.7586,                 1.2664,             0.00080508,             0.00080508,             0.00080508
                     26,                0.88413,                 1.0215,                 1.2155,                 0.8052,                0.90837,                0.89906,                0.69214,                 0.8316,                 0.7847,                 1.2657,             0.00081238,             0.00081238,             0.00081238
                     27,                 1.0066,                0.89038,                 1.3061,                0.80519,                0.93153,                0.90291,                0.69958,                  0.849,                0.76073,                  1.268,             0.00081238,             0.00081238,             0.00081238
                     28,                0.97551,                0.84674,                 1.3702,                0.81123,                0.93138,                 0.9079,                0.69031,                0.87408,                0.73658,                 1.2715,             0.00081156,             0.00081156,             0.00081156
                     29,                 0.9842,                 0.8588,                 1.2881,                0.87379,                0.86908,                0.91714,                0.71109,                0.83899,                0.69262,                 1.2503,             0.00081073,             0.00081073,             0.00081073
                     30,                0.93531,                0.86739,                 1.2718,                0.82695,                0.91067,                 0.9349,                0.71246,                0.83213,                0.74271,                  1.246,             0.00080991,             0.00080991,             0.00080991
                     31,                0.98326,                0.89966,                 1.3545,                0.86044,                0.83921,                0.93463,                0.71889,                0.83989,                0.75011,                 1.2566,             0.00080908,             0.00080908,             0.00080908
                     32,                0.96613,                0.87247,                 1.2869,                0.85528,                0.95043,                0.94588,                0.72912,                0.82766,                0.68807,                 1.2482,             0.00080826,             0.00080826,             0.00080826
                     33,                 0.9242,                0.85669,                 1.3149,                0.88302,                0.87629,                0.95339,                0.73871,                0.81833,                0.76678,                 1.2546,             0.00080744,             0.00080744,             0.00080744
                     34,                0.90038,                0.83665,                 1.3055,                0.89219,                0.83809,                 0.9416,                0.72132,                0.84511,                0.75021,                 1.2614,             0.00080661,             0.00080661,             0.00080661
                     35,                0.95164,                0.77094,                 1.2238,                0.86575,                0.89763,                0.95449,                0.72527,                0.86064,                 0.6877,                 1.2661,             0.00080579,             0.00080579,             0.00080579
                     36,                0.91901,                0.86343,                 1.2796,                0.91557,                0.88884,                0.95598,                0.73567,                0.84352,                0.73556,                 1.2556,             0.00080496,             0.00080496,             0.00080496
                     37,                 1.0575,                 1.0251,                 1.3067,                0.81882,                0.90293,                0.92426,                0.70814,                0.83173,                0.76269,                 1.2385,             0.00080414,             0.00080414,             0.00080414
                     38,                 1.5871,                 1.5717,                 1.6383,                0.85662,                0.90872,                0.94112,                0.71985,                0.83495,                0.71847,                  1.242,             0.00080331,             0.00080331,             0.00080331
                     39,                 1.0858,                0.87129,                 1.2594,                0.85397,                 0.9417,                0.96491,                0.73153,                0.86216,                0.71045,                 1.2762,             0.00080249,             0.00080249,             0.00080249
                     40,                0.97204,                0.79941,                 1.2834,                0.94148,                0.77795,                0.94474,                 0.7357,                0.82104,                0.72152,                 1.2569,             0.00080166,             0.00080166,             0.00080166
                     41,                0.93154,                0.77321,                 1.2477,                0.90517,                0.80117,                0.93732,                0.73591,                0.79476,                0.69864,                  1.226,             0.00080084,             0.00080084,             0.00080084
                     42,                 0.8187,                 0.9096,                 1.2366,                0.88205,                0.90663,                0.96479,                0.73208,                0.85238,                 0.6962,                 1.2344,             0.00080001,             0.00080001,             0.00080001
                     43,                0.73648,                 1.6644,                0.91187,                0.91223,                0.91795,                0.95508,                0.72062,                  0.862,                0.69495,                 1.2446,             0.00079919,             0.00079919,             0.00079919
                     44,                0.92444,                0.81698,                 1.2871,                0.88133,                0.90185,                0.93419,                 0.7176,                0.83693,                0.69421,                 1.2407,             0.00079836,             0.00079836,             0.00079836
                     45,                0.69555,                 1.4462,                0.94223,                0.84433,                0.90214,                0.93057,                0.70753,                0.84786,                 0.7049,                 1.2493,             0.00079754,             0.00079754,             0.00079754
                     46,                 1.0865,                 1.0087,                 1.4333,                0.89757,                0.89549,                0.95827,                0.72859,                0.83753,                0.66478,                 1.2284,             0.00079671,             0.00079671,             0.00079671
                     47,                0.99168,                0.78527,                 1.2717,                0.89078,                0.94993,                 0.9657,                0.73516,                0.83378,                0.67585,                 1.2156,             0.00079589,             0.00079589,             0.00079589
                     48,                0.93315,                0.82819,                 1.3673,                0.94471,                0.87656,                0.95399,                0.73409,                 0.8091,                0.68378,                 1.1984,             0.00079507,             0.00079507,             0.00079507
                     49,                 1.0973,                0.96408,                 1.3436,                0.89482,                0.92372,                 0.9566,                0.74446,                0.82654,                0.68437,                 1.2248,             0.00079424,             0.00079424,             0.00079424
                     50,                0.72466,                 1.5034,                  1.002,                0.87262,                 0.9132,                0.97145,                0.75544,                0.82074,                0.69997,                 1.2186,             0.00079342,             0.00079342,             0.00079342
                     51,                 1.0428,                0.76392,                 1.3244,                0.90106,                0.90349,                0.97042,                0.76511,                0.78957,                0.66957,                 1.1997,             0.00079259,             0.00079259,             0.00079259
                     52,                0.89853,                 0.8287,                 1.2556,                0.87467,                0.92404,                0.97041,                0.75023,                0.82265,                0.65693,                 1.2263,             0.00079177,             0.00079177,             0.00079177
                     53,                 1.0715,                0.84694,                 1.4358,                0.86512,                0.91742,                 0.9587,                0.74017,                 0.8204,                 0.6762,                 1.2273,             0.00079094,             0.00079094,             0.00079094
                     54,                0.99475,                  0.812,                 1.3533,                0.90225,                0.89585,                0.95026,                0.74774,                0.78345,                0.68966,                 1.2078,             0.00079012,             0.00079012,             0.00079012
                     55,                 1.0313,                0.82576,                 1.3446,                0.91321,                0.92103,                0.96075,                0.75455,                0.77491,                0.66163,                 1.1969,             0.00078929,             0.00078929,             0.00078929
                     56,                0.83031,                0.85058,                 1.2351,                0.88251,                0.97396,                0.96579,                 0.7652,                0.75637,                0.62492,                 1.1763,             0.00078847,             0.00078847,             0.00078847
                     57,                0.88394,                0.79982,                 1.2578,                0.87569,                0.89811,                0.94135,                0.73008,                 0.8191,                0.64803,                 1.2103,             0.00078764,             0.00078764,             0.00078764
                     58,                0.82191,                0.70644,                 1.2117,                0.88883,                0.90838,                0.93303,                0.73704,                0.77621,                0.63926,                 1.1912,             0.00078682,             0.00078682,             0.00078682
                     59,                 1.1839,                0.80693,                 1.2511,                0.89353,                0.90373,                0.94737,                0.75408,                0.77159,                 0.6278,                 1.2017,             0.00078599,             0.00078599,             0.00078599
                     60,                0.90807,                0.70593,                 1.2467,                 0.9007,                 0.8869,                0.94812,                0.75201,                0.78395,                 0.6669,                 1.2136,             0.00078517,             0.00078517,             0.00078517
                     61,                0.85952,                0.67683,                 1.1846,                0.86882,                0.93793,                 0.9541,                0.74893,                0.82841,                0.72313,                 1.2231,             0.00078434,             0.00078434,             0.00078434
                     62,                0.99868,                0.85044,                 1.3395,                0.94198,                0.87178,                0.95697,                0.75294,                0.80122,                0.70589,                 1.2069,             0.00078352,             0.00078352,             0.00078352
                     63,                 1.0314,                0.84078,                 1.3268,                0.91464,                0.89456,                0.95791,                0.74785,                0.79576,                0.64888,                 1.2083,              0.0007827,              0.0007827,              0.0007827
                     64,                0.88271,                0.72806,                 1.2242,                0.94306,                0.88662,                0.95932,                0.74821,                0.80411,                0.62183,                 1.2084,             0.00078187,             0.00078187,             0.00078187
                     65,                 0.9188,                 0.7847,                 1.2361,                0.89767,                0.91549,                0.96161,                 0.7522,                0.78981,                0.61575,                 1.1944,             0.00078105,             0.00078105,             0.00078105
                     66,                0.93782,                0.69686,                 1.1776,                0.89925,                0.95223,                0.96772,                0.75998,                0.81378,                0.61362,                 1.1974,             0.00078022,             0.00078022,             0.00078022
                     67,                0.68252,                 1.3747,                0.89744,                0.91381,                0.94176,                0.96979,                0.73813,                0.84778,                0.65534,                 1.2331,              0.0007794,              0.0007794,              0.0007794
                     68,                 1.0254,                 1.1385,                 1.4308,                 0.9032,                0.94234,                 0.9732,                0.72844,                0.89836,                0.67748,                 1.2835,             0.00077857,             0.00077857,             0.00077857
                     69,                 0.9999,                0.75981,                 1.3167,                0.91723,                 0.9488,                0.97635,                 0.7419,                0.87256,                0.67572,                 1.2452,             0.00077775,             0.00077775,             0.00077775
                     70,                0.95046,                0.86103,                 1.2994,                0.91772,                0.92972,                0.97328,                 0.7483,                0.84311,                0.64279,                 1.2159,             0.00077692,             0.00077692,             0.00077692
                     71,                0.95997,                0.72756,                 1.3696,                0.92554,                0.93416,                0.97229,                0.74674,                0.81358,                 0.6183,                 1.2038,              0.0007761,              0.0007761,              0.0007761
                     72,                0.89982,                0.78284,                 1.2641,                0.90219,                0.91823,                0.97051,                0.75064,                0.79984,                0.62307,                 1.2091,             0.00077527,             0.00077527,             0.00077527
                     73,                0.89095,                0.73046,                 1.1945,                0.93509,                0.93382,                0.96998,                 0.7494,                0.81233,                0.61431,                 1.2206,             0.00077445,             0.00077445,             0.00077445
                     74,                0.92033,                0.74142,                 1.2351,                 0.9517,                0.94977,                0.97018,                0.75769,                0.77499,                0.62179,                 1.1893,             0.00077362,             0.00077362,             0.00077362
                     75,                0.87465,                0.72379,                 1.1987,                0.95207,                0.92985,                0.97331,                0.76303,                0.77304,                 0.6399,                 1.1731,              0.0007728,              0.0007728,              0.0007728
                     76,                 0.8988,                0.68849,                  1.268,                0.96506,                0.92425,                0.98432,                0.75779,                0.81594,                 0.6082,                 1.1856,             0.00077197,             0.00077197,             0.00077197
                     77,                0.92106,                0.75066,                 1.1804,                0.89544,                0.97324,                0.98438,                0.76228,                0.79516,                0.60567,                 1.1813,             0.00077115,             0.00077115,             0.00077115
                     78,                0.85672,                0.66228,                 1.2257,                0.91365,                 0.9469,                0.98804,                0.76795,                0.76857,                0.60226,                 1.1662,             0.00077033,             0.00077033,             0.00077033
                     79,                0.89991,                0.72898,                 1.1784,                0.87717,                0.97459,                0.98169,                0.77315,                0.74663,                0.63109,                 1.1558,              0.0007695,              0.0007695,              0.0007695
                     80,                0.79637,                 0.6836,                 1.1768,                0.94013,                0.96648,                0.98466,                0.79125,                0.75007,                0.59775,                   1.15,             0.00076868,             0.00076868,             0.00076868
                     81,                0.80572,                0.76961,                 1.2146,                0.94543,                0.98533,                0.98718,                0.79139,                0.75219,                0.56887,                 1.1447,             0.00076785,             0.00076785,             0.00076785
                     82,                0.92565,                0.80589,                 1.2342,                 0.9174,                0.94473,                0.97743,                0.76622,                0.79367,                0.57821,                 1.1829,             0.00076703,             0.00076703,             0.00076703
                     83,                 1.2832,                 1.2087,                 1.6469,                 0.8946,                  0.908,                0.96105,                0.73933,                0.80275,                0.61259,                 1.1943,              0.0007662,              0.0007662,              0.0007662
                     84,                0.88226,                 0.6884,                 1.1812,                0.87117,                0.95349,                0.96953,                0.77413,                0.73199,                0.62949,                 1.1608,             0.00076538,             0.00076538,             0.00076538
                     85,                 1.0596,                0.81343,                 1.2262,                 0.8844,                0.94567,                0.97367,                 0.7786,                0.72432,                0.62417,                  1.144,             0.00076455,             0.00076455,             0.00076455
                     86,                 0.9081,                0.78874,                 1.1955,                0.90193,                0.93671,                0.97562,                0.77776,                0.75891,                0.60847,                 1.1545,             0.00076373,             0.00076373,             0.00076373
                     87,                0.90209,                0.77403,                 1.2549,                 0.9045,                0.95307,                0.98581,                0.77948,                0.77669,                0.58926,                 1.1707,              0.0007629,              0.0007629,              0.0007629
                     88,                0.93007,                 0.7459,                 1.2394,                0.90914,                0.94995,                0.98559,                0.78667,                0.74139,                0.58478,                 1.1612,             0.00076208,             0.00076208,             0.00076208
                     89,                0.91239,                0.71842,                    1.2,                0.93186,                0.87583,                0.98773,                0.77318,                0.79261,                0.61507,                 1.1928,             0.00076125,             0.00076125,             0.00076125
                     90,                 0.9865,                0.82823,                 1.2499,                 0.9575,                0.84686,                0.98454,                0.76109,                0.80533,                 0.6291,                  1.197,             0.00076043,             0.00076043,             0.00076043
                     91,                 1.1203,                0.76424,                 1.2394,                0.96086,                0.90483,                0.97874,                0.77607,                0.75059,                0.59396,                 1.1617,              0.0007596,              0.0007596,              0.0007596
                     92,                0.87125,                0.70988,                 1.1434,                0.91415,                 0.9708,                0.96932,                0.76009,                0.76301,                0.57772,                 1.1637,             0.00075878,             0.00075878,             0.00075878
                     93,                0.90532,                0.80221,                 1.1871,                 0.9574,                0.94869,                0.98367,                0.79266,                0.73159,                0.56739,                 1.1456,             0.00075796,             0.00075796,             0.00075796
                     94,                0.89757,                0.66108,                 1.1688,                0.92613,                0.97959,                0.98759,                0.79796,                0.75915,                0.58968,                 1.1581,             0.00075713,             0.00075713,             0.00075713
                     95,                0.84012,                0.63589,                 1.1634,                0.97416,                0.94852,                0.99043,                0.78884,                0.75871,                0.57666,                 1.1586,             0.00075631,             0.00075631,             0.00075631
                     96,                0.84725,                0.65232,                 1.1223,                0.90443,                 0.9787,                0.98472,                0.78395,                0.74749,                0.58065,                 1.1609,             0.00075548,             0.00075548,             0.00075548
                     97,                0.91676,                0.67536,                 1.2113,                 0.9536,                 0.9419,                 0.9869,                0.78581,                0.75747,                0.59727,                 1.1722,             0.00075466,             0.00075466,             0.00075466
                     98,                0.88856,                0.75535,                 1.2464,                0.93915,                0.95321,                0.98727,                0.78528,                0.73686,                0.60953,                 1.1579,             0.00075383,             0.00075383,             0.00075383
                     99,                 1.1354,                0.91936,                  1.424,                 0.9156,                0.96831,                 0.9814,                0.79251,                0.72141,                0.57147,                 1.1354,             0.00075301,             0.00075301,             0.00075301
                    100,                0.84908,                 0.7374,                 1.1497,                0.92775,                 0.9543,                0.98181,                0.78417,                0.71993,                0.54823,                 1.1307,             0.00075218,             0.00075218,             0.00075218
                    101,                0.83339,                0.70014,                 1.1524,                0.91866,                0.97249,                0.98985,                0.78844,                0.71842,                0.54707,                 1.1341,             0.00075136,             0.00075136,             0.00075136
                    102,                 0.8127,                 0.7194,                 1.1796,                0.93938,                0.94385,                0.98383,                0.79437,                0.72583,                0.55998,                 1.1391,             0.00075053,             0.00075053,             0.00075053
                    103,                0.94218,                0.70238,                 1.1779,                0.93194,                0.96551,                0.98669,                0.78639,                0.76388,                0.57364,                 1.1615,             0.00074971,             0.00074971,             0.00074971
                    104,                0.89889,                0.64283,                 1.2099,                0.93939,                0.97768,                0.98962,                0.78972,                0.77882,                0.57756,                 1.1686,             0.00074888,             0.00074888,             0.00074888
                    105,                0.83176,                0.62631,                 1.1425,                0.93684,                 0.9643,                0.98874,                0.79646,                0.74596,                0.57167,                 1.1447,             0.00074806,             0.00074806,             0.00074806
                    106,                 1.0011,                 0.7702,                 1.3287,                0.93657,                0.95456,                0.99123,                0.80345,                 0.7223,                0.55329,                  1.126,             0.00074723,             0.00074723,             0.00074723
